product,active_sites
ALL_PRODUCTS_DEDUPLICATED,391162
disable-admin-notices,90606
optimole-wp,74977
robin-image-optimizer,50073
otter-blocks,36311
remove-category-url,34788
neve,29868
cyrliteral,26514
templates-patterns-collection,17609
cyr-and-lat,17475
wp-full-stripe-free,12251
feedzy-rss-feeds,11074
themeisle-companion,8769
wp-cloudflare-page-cache,8322
menu-icons,8223
hyve-lite,8210
wp-maintenance-mode,6757
instagram-slider-widget,5222
visualizer,3272
multiple-pages-generator-by-porthas,3124
wpcf7-redirect,2443
hestia,2109
insert-php,1919
tweet-old-post,1482
anti-spam,1133
intergeomaps,561
media-library-organizer,544
shop-isle,531
neve-fse,379
raft,263
non-profit-fse,135
riverbank,113
fork,71
church-fse,68
jaxon,52
lmscourse-fse,21
eduacademy,18
