product,active_sites
ALL_PRODUCTS_DEDUPLICATED,399229
disable-admin-notices,93528
optimole-wp,73593
robin-image-optimizer,53306
otter-blocks,35735
remove-category-url,35184
neve,29163
cyrlitera,28839
cyr-and-lat,18380
templates-patterns-collection,16946
wp-full-stripe-free,11512
feedzy-rss-feeds,10880
themeisle-companion,8757
wp-cloudflare-page-cache,8252
menu-icons,8136
hyve-lite,7819
wp-maintenance-mode,7540
instagram-slider-widget,5431
visualizer,3191
multiple-pages-generator-by-porthas,3075
wpcf7-redirect,2496
hestia,2071
insert-php,2011
tweet-old-post,1463
anti-spam,1131
media-library-organizer,574
intergeo-maps,551
shop-isle,516
neve-fse,373
raft,258
non-profit-fse,134
riverbank,110
fork,68
church-fse,64
jaxon,55
lmscourse-fse,22
eduacademy,19
