product,active_sites
ALL_PRODUCTS_DEDUPLICATED,395932
disable-admin-notices,92042
optimole-wp,72246
robin-image-optimizer,54152
otter-blocks,35208
remove-category-url,34497
cyrlitera,29094
neve,28645
cyr-and-lat,18207
templates-patterns-collection,16436
wp-full-stripe-free,10997
feedzy-rss-feeds,10720
themeisle-companion,8722
wp-cloudflare-page-cache,8155
menu-icons,8124
wp-maintenance-mode,7871
hyve-lite,7646
instagram-slider-widget,5315
visualizer,3134
multiple-pages-generator-by-porthas,2995
wpcf7-redirect,2512
insert-php,2049
hestia,2041
tweet-old-post,1464
anti-spam,1134
media-library-organizer,596
intergeo-maps,545
shop-isle,506
neve-fse,391
raft,263
non-profit-fse,134
riverbank,109
fork,67
church-fse,61
jaxon,54
lmscourse-fse,20
eduacademy,19
