product,active_sites
ALL_PRODUCTS_DEDUPLICATED,395810
disable-admin-notices,91981
optimole-wp,72208
robin-image-optimizer,54191
otter-blocks,35190
remove-category-url,34477
cyrlitera,29077
neve,28630
cyr-and-lat,18203
templates-patterns-collection,16409
wp-full-stripe-free,10957
feedzy-rss-feeds,10696
themeisle-companion,8715
wp-cloudflare-page-cache,8151
menu-icons,8121
wp-maintenance-mode,7892
hyve-lite,7642
instagram-slider-widget,5315
visualizer,3135
multiple-pages-generator-by-porthas,2989
wpcf7-redirect,2515
insert-php,2047
hestia,2039
tweet-old-post,1466
anti-spam,1132
media-library-organizer,596
intergeo-maps,544
shop-isle,506
neve-fse,387
raft,263
non-profit-fse,134
riverbank,108
fork,67
church-fse,60
jaxon,54
lmscourse-fse,20
eduacademy,19
