product,active_sites
ALL_PRODUCTS_DEDUPLICATED,390360
disable-admin-notices,89361
optimole-wp,70873
robin-image-optimizer,55571
otter-blocks,34393
remove-category-url,32917
cyrlitera,28861
neve,28157
cyr-and-lat,18204
templates-patterns-collection,15754
feedzy-rss-feeds,10433
wp-full-stripe-free,10269
themeisle-companion,8626
wp-maintenance-mode,8508
menu-icons,8167
wp-cloudflare-page-cache,7948
hyve-lite,7392
instagram-slider-widget,5195
visualizer,2955
multiple-pages-generator-by-porthas,2882
wpcf7-redirect,2555
insert-php,2070
hestia,1987
tweet-old-post,1434
anti-spam,1106
media-library-organizer,618
intergeo-maps,536
shop-isle,495
neve-fse,380
raft,260
non-profit-fse,133
riverbank,104
fork,65
church-fse,60
jaxon,54
eduacademy,22
lmscourse-fse,19
