product,active_sites
ALL_PRODUCTS_DEDUPLICATED,391438
disable-admin-notices,89810
optimole-wp,71132
robin-image-optimizer,55323
otter-blocks,34547
remove-category-url,33326
cyrlitera,28972
neve,28313
cyr-and-lat,18258
templates-patterns-collection,15868
feedzy-rss-feeds,10443
wp-full-stripe-free,10379
themeisle-companion,8644
wp-maintenance-mode,8405
menu-icons,8083
wp-cloudflare-page-cache,7996
hyve-lite,7412
instagram-slider-widget,5221
visualizer,2992
multiple-pages-generator-by-porthas,2885
wpcf7-redirect,2548
insert-php,2056
hestia,1999
tweet-old-post,1445
anti-spam,1099
media-library-organizer,617
intergeo-maps,537
shop-isle,498
neve-fse,384
raft,261
non-profit-fse,133
riverbank,104
fork,65
church-fse,61
jaxon,54
eduacademy,21
lmscourse-fse,19
