product,active_sites
ALL_PRODUCTS_DEDUPLICATED,393619
disable-admin-notices,91269
optimole-wp,74942
robin-image-optimizer,50891
otter-blocks,36298
remove-category-url,35020
neve,29799
cyrlitera,27052
cyr-and-lat,17693
templates-patterns-collection,17535
wp-full-stripe-free,12167
feedzy-rss-feeds,11084
themeisle-companion,8760
wp-cloudflare-page-cache,8331
menu-icons,8199
hyve-lite,8147
wp-maintenance-mode,6918
instagram-slider-widget,5290
visualizer,3266
multiple-pages-generator-by-porthas,3133
wpcf7-redirect,2456
hestia,2099
insert-php,1953
tweet-old-post,1475
anti-spam,1139
intergeo-maps,559
media-library-organizer,547
shop-isle,528
neve-fse,376
raft,261
non-profit-fse,136
riverbank,114
fork,72
church-fse,68
jaxon,52
lmscourse-fse,21
eduacademy,17
