product,active_sites
ALL_PRODUCTS_DEDUPLICATED,394918
disable-admin-notices,91891
optimole-wp,74831
robin-image-optimizer,51288
otter-blocks,36212
remove-category-url,35111
neve,29739
cyrlitera,27289
cyr-and-lat,17794
templates-patterns-collection,17452
wp-full-stripe-free,12082
feedzy-rss-feeds,11074
themeisle-companion,8751
wp-cloudflare-page-cache,8319
menu-icons,8202
hyve-lite,8113
wp-maintenance-mode,6993
instagram-slider-widget,5313
visualizer,3224
multiple-pages-generator-by-porthas,3127
wpcf7-redirect,2465
hestia,2091
insert-php,1965
tweet-old-post,1475
anti-spam,1144
intergeo-maps,558
media-library-organizer,549
shop-isle,528
neve-fse,375
raft,259
non-profit-fse,135
riverbank,112
fork,72
church-fse,68
jaxon,52
lmscourse-fse,21
eduacademy,19
