product,active_sites
ALL_PRODUCTS_DEDUPLICATED,396778
disable-admin-notices,92375
optimole-wp,74458
robin-image-optimizer,52134
otter-blocks,36054
remove-category-url,35242
neve,29522
cyrlitera,27911
cyr-and-lat,18043
templates-patterns-collection,17290
wp-full-stripe-free,11910
feedzy-rss-feeds,11041
themeisle-companion,8726
wp-cloudflare-page-cache,8313
menu-icons,8150
hyve-lite,8008
wp-maintenance-mode,7170
instagram-slider-widget,5389
visualizer,3199
multiple-pages-generator-by-porthas,3113
wpcf7-redirect,2487
hestia,2080
insert-php,1993
tweet-old-post,1472
anti-spam,1139
intergeo-maps,556
media-library-organizer,555
shop-isle,522
neve-fse,374
raft,261
non-profit-fse,136
riverbank,112
fork,69
church-fse,64
jaxon,55
lmscourse-fse,22
eduacademy,18
