product,active_sites
ALL_PRODUCTS_DEDUPLICATED,391263
disable-admin-notices,89722
optimole-wp,71065
robin-image-optimizer,55423
otter-blocks,34510
remove-category-url,33196
cyrlitera,28963
neve,28286
cyr-and-lat,18254
templates-patterns-collection,15840
feedzy-rss-feeds,10458
wp-full-stripe-free,10356
themeisle-companion,8641
wp-maintenance-mode,8430
menu-icons,8105
wp-cloudflare-page-cache,7992
hyve-lite,7407
instagram-slider-widget,5215
visualizer,2980
multiple-pages-generator-by-porthas,2882
wpcf7-redirect,2549
insert-php,2056
hestia,1995
tweet-old-post,1440
anti-spam,1100
media-library-organizer,615
intergeo-maps,537
shop-isle,498
neve-fse,383
raft,260
non-profit-fse,133
riverbank,104
fork,65
church-fse,61
jaxon,54
eduacademy,21
lmscourse-fse,19
