product,active_sites
ALL_PRODUCTS_DEDUPLICATED,395172
disable-admin-notices,91947
optimole-wp,74786
robin-image-optimizer,51421
otter-blocks,36167
remove-category-url,35122
neve,29711
cyrlitera,27368
cyr-and-lat,17866
templates-patterns-collection,17425
wp-full-stripe-free,12056
feedzy-rss-feeds,11075
themeisle-companion,8748
wp-cloudflare-page-cache,8315
menu-icons,8196
hyve-lite,8101
wp-maintenance-mode,7010
instagram-slider-widget,5312
visualizer,3220
multiple-pages-generator-by-porthas,3125
wpcf7-redirect,2472
hestia,2086
insert-php,1970
tweet-old-post,1472
anti-spam,1143
intergeo-maps,559
media-library-organizer,550
shop-isle,527
neve-fse,374
raft,259
non-profit-fse,134
riverbank,112
fork,71
church-fse,67
jaxon,53
lmscourse-fse,21
eduacademy,19
