product,active_sites
ALL_PRODUCTS_DEDUPLICATED,398649
disable-admin-notices,93303
optimole-wp,73903
robin-image-optimizer,52737
otter-blocks,35863
remove-category-url,35248
neve,29338
cyrlitera,28596
cyr-and-lat,18304
templates-patterns-collection,17090
wp-full-stripe-free,11689
feedzy-rss-feeds,10943
themeisle-companion,8751
wp-cloudflare-page-cache,8276
menu-icons,8149
hyve-lite,7892
wp-maintenance-mode,7418
instagram-slider-widget,5432
visualizer,3208
multiple-pages-generator-by-porthas,3090
wpcf7-redirect,2489
hestia,2074
insert-php,2006
tweet-old-post,1473
anti-spam,1135
media-library-organizer,566
intergeo-maps,553
shop-isle,518
neve-fse,371
raft,261
non-profit-fse,135
riverbank,111
fork,69
church-fse,64
jaxon,54
lmscourse-fse,22
eduacademy,19
