product,active_sites
ALL_PRODUCTS_DEDUPLICATED,397784
disable-admin-notices,92946
optimole-wp,73012
robin-image-optimizer,53729
otter-blocks,35477
remove-category-url,34863
neve,28991
cyrlitera,28844
cyr-and-lat,18321
templates-patterns-collection,16727
wp-full-stripe-free,11297
feedzy-rss-feeds,10805
themeisle-companion,8748
wp-cloudflare-page-cache,8201
menu-icons,8122
hyve-lite,7734
wp-maintenance-mode,7690
instagram-slider-widget,5387
visualizer,3139
multiple-pages-generator-by-porthas,3045
wpcf7-redirect,2511
hestia,2060
insert-php,2023
tweet-old-post,1455
anti-spam,1144
media-library-organizer,585
intergeo-maps,546
shop-isle,511
neve-fse,383
raft,260
non-profit-fse,134
riverbank,112
fork,68
church-fse,63
jaxon,54
lmscourse-fse,22
eduacademy,20
