product,active_sites
ALL_PRODUCTS_DEDUPLICATED,392328
disable-admin-notices,90221
optimole-wp,71251
robin-image-optimizer,55225
otter-blocks,34644
remove-category-url,33562
cyrlitera,28999
neve,28404
cyr-and-lat,18288
templates-patterns-collection,15944
feedzy-rss-feeds,10462
wp-full-stripe-free,10454
themeisle-companion,8655
wp-maintenance-mode,8339
menu-icons,8073
wp-cloudflare-page-cache,8018
hyve-lite,7433
instagram-slider-widget,5239
visualizer,3024
multiple-pages-generator-by-porthas,2893
wpcf7-redirect,2532
insert-php,2051
hestia,2003
tweet-old-post,1450
anti-spam,1100
media-library-organizer,616
intergeo-maps,536
shop-isle,499
neve-fse,383
raft,262
non-profit-fse,132
riverbank,105
fork,66
church-fse,62
jaxon,55
eduacademy,21
lmscourse-fse,19
