product,active_sites
ALL_PRODUCTS_DEDUPLICATED,396956
disable-admin-notices,92636
optimole-wp,72747
robin-image-optimizer,53798
otter-blocks,35380
remove-category-url,34737
neve,28876
cyrlitera,28818
cyr-and-lat,18282
templates-patterns-collection,16634
wp-full-stripe-free,11190
feedzy-rss-feeds,10795
themeisle-companion,8751
wp-cloudflare-page-cache,8186
menu-icons,8131
wp-maintenance-mode,7745
hyve-lite,7696
instagram-slider-widget,5360
visualizer,3139
multiple-pages-generator-by-porthas,3028
wpcf7-redirect,2507
hestia,2059
insert-php,2033
tweet-old-post,1461
anti-spam,1144
media-library-organizer,590
intergeo-maps,547
shop-isle,509
neve-fse,386
raft,260
non-profit-fse,135
riverbank,111
fork,69
church-fse,63
jaxon,54
lmscourse-fse,21
eduacademy,20
