product,active_sites
ALL_PRODUCTS_DEDUPLICATED,397350
disable-admin-notices,92556
optimole-wp,74235
robin-image-optimizer,52298
otter-blocks,35997
remove-category-url,35278
neve,29485
cyrlitera,28153
cyr-and-lat,18140
templates-patterns-collection,17231
wp-full-stripe-free,11845
feedzy-rss-feeds,11015
themeisle-companion,8736
wp-cloudflare-page-cache,8309
menu-icons,8153
hyve-lite,7988
wp-maintenance-mode,7240
instagram-slider-widget,5408
visualizer,3200
multiple-pages-generator-by-porthas,3119
wpcf7-redirect,2482
hestia,2080
insert-php,2001
tweet-old-post,1473
anti-spam,1131
media-library-organizer,562
intergeo-maps,555
shop-isle,521
neve-fse,373
raft,261
non-profit-fse,137
riverbank,111
fork,69
church-fse,64
jaxon,55
lmscourse-fse,22
eduacademy,19
