product,active_sites
ALL_PRODUCTS_DEDUPLICATED,399304
disable-admin-notices,93532
optimole-wp,73766
robin-image-optimizer,53062
otter-blocks,35823
remove-category-url,35271
neve,29296
cyrlitera,28804
cyr-and-lat,18340
templates-patterns-collection,17048
wp-full-stripe-free,11604
feedzy-rss-feeds,10931
themeisle-companion,8765
wp-cloudflare-page-cache,8262
menu-icons,8143
hyve-lite,7854
wp-maintenance-mode,7470
instagram-slider-widget,5438
visualizer,3210
multiple-pages-generator-by-porthas,3087
wpcf7-redirect,2491
hestia,2073
insert-php,2009
tweet-old-post,1463
anti-spam,1131
media-library-organizer,567
intergeo-maps,553
shop-isle,517
neve-fse,375
raft,259
non-profit-fse,134
riverbank,111
fork,67
church-fse,64
jaxon,55
lmscourse-fse,22
eduacademy,19
