product,active_sites
ALL_PRODUCTS_DEDUPLICATED,389351
disable-admin-notices,88750
optimole-wp,70819
robin-image-optimizer,55777
otter-blocks,34282
remove-category-url,32691
cyrlitera,28660
neve,28051
cyr-and-lat,18180
templates-patterns-collection,15683
feedzy-rss-feeds,10413
wp-full-stripe-free,10185
themeisle-companion,8619
wp-maintenance-mode,8608
menu-icons,8209
wp-cloudflare-page-cache,7940
hyve-lite,7364
instagram-slider-widget,5156
visualizer,2941
multiple-pages-generator-by-porthas,2874
wpcf7-redirect,2561
insert-php,2075
hestia,1979
tweet-old-post,1433
anti-spam,1112
media-library-organizer,618
intergeo-maps,534
shop-isle,493
neve-fse,380
raft,259
non-profit-fse,132
riverbank,103
fork,65
church-fse,62
jaxon,54
eduacademy,22
lmscourse-fse,19
