product,active_sites
ALL_PRODUCTS_DEDUPLICATED,398680
disable-admin-notices,93275
optimole-wp,73418
robin-image-optimizer,53428
otter-blocks,35636
remove-category-url,35088
neve,29102
cyrlitera,28860
cyr-and-lat,18366
templates-patterns-collection,16872
wp-full-stripe-free,11429
feedzy-rss-feeds,10842
themeisle-companion,8752
wp-cloudflare-page-cache,8234
menu-icons,8130
hyve-lite,7789
wp-maintenance-mode,7582
instagram-slider-widget,5417
visualizer,3178
multiple-pages-generator-by-porthas,3064
wpcf7-redirect,2500
hestia,2064
insert-php,2018
tweet-old-post,1454
anti-spam,1139
media-library-organizer,577
intergeo-maps,550
shop-isle,515
neve-fse,376
raft,259
non-profit-fse,134
riverbank,111
fork,68
church-fse,63
jaxon,55
lmscourse-fse,22
eduacademy,19
