product,active_sites
ALL_PRODUCTS_DEDUPLICATED,396288
disable-admin-notices,92321
optimole-wp,72454
robin-image-optimizer,54014
otter-blocks,35307
remove-category-url,34641
cyrlitera,28797
neve,28767
cyr-and-lat,18243
templates-patterns-collection,16539
wp-full-stripe-free,11099
feedzy-rss-feeds,10771
themeisle-companion,8734
wp-cloudflare-page-cache,8178
menu-icons,8128
wp-maintenance-mode,7795
hyve-lite,7680
instagram-slider-widget,5332
visualizer,3131
multiple-pages-generator-by-porthas,3007
wpcf7-redirect,2513
hestia,2050
insert-php,2040
tweet-old-post,1462
anti-spam,1139
media-library-organizer,591
intergeo-maps,547
shop-isle,507
neve-fse,388
raft,261
non-profit-fse,134
riverbank,110
fork,67
church-fse,62
jaxon,54
lmscourse-fse,20
eduacademy,19
