product,active_sites
ALL_PRODUCTS_DEDUPLICATED,394256
disable-admin-notices,91230
optimole-wp,72108
robin-image-optimizer,54458
otter-blocks,34943
remove-category-url,34119
cyrlitera,29080
neve,28445
cyr-and-lat,18286
templates-patterns-collection,16215
wp-full-stripe-free,10732
feedzy-rss-feeds,10594
themeisle-companion,8712
wp-cloudflare-page-cache,8104
menu-icons,8084
wp-maintenance-mode,8036
hyve-lite,7554
instagram-slider-widget,5266
visualizer,3109
multiple-pages-generator-by-porthas,2950
wpcf7-redirect,2526
insert-php,2062
hestia,2025
tweet-old-post,1445
anti-spam,1111
media-library-organizer,605
intergeo-maps,539
shop-isle,502
neve-fse,390
raft,262
non-profit-fse,132
riverbank,108
fork,65
church-fse,61
jaxon,54
eduacademy,20
lmscourse-fse,20
