product,active_sites
ALL_PRODUCTS_DEDUPLICATED,390701
disable-admin-notices,90170
optimole-wp,71069
robin-image-optimizer,54277
otter-blocks,34524
remove-category-url,33698
cyrlitera,28945
neve,28038
cyr-and-lat,18226
templates-patterns-collection,15925
wp-full-stripe-free,10458
feedzy-rss-feeds,10441
themeisle-companion,8628
wp-maintenance-mode,8116
menu-icons,8046
wp-cloudflare-page-cache,7973
hyve-lite,7417
instagram-slider-widget,5244
visualizer,3043
multiple-pages-generator-by-porthas,2889
wpcf7-redirect,2509
insert-php,2031
hestia,2006
tweet-old-post,1434
anti-spam,1097
media-library-organizer,610
intergeo-maps,536
shop-isle,497
neve-fse,383
raft,258
non-profit-fse,129
riverbank,105
fork,65
church-fse,60
jaxon,54
eduacademy,19
lmscourse-fse,19
