product,active_sites
ALL_PRODUCTS_DEDUPLICATED,397124
disable-admin-notices,92475
optimole-wp,74291
robin-image-optimizer,52218
otter-blocks,36026
remove-category-url,35267
neve,29489
cyrlitera,28075
cyr-and-lat,18118
templates-patterns-collection,17247
wp-full-stripe-free,11870
feedzy-rss-feeds,11032
themeisle-companion,8733
wp-cloudflare-page-cache,8317
menu-icons,8153
hyve-lite,7997
wp-maintenance-mode,7214
instagram-slider-widget,5398
visualizer,3197
multiple-pages-generator-by-porthas,3116
wpcf7-redirect,2483
hestia,2080
insert-php,1996
tweet-old-post,1473
anti-spam,1130
media-library-organizer,559
intergeo-maps,556
shop-isle,522
neve-fse,374
raft,261
non-profit-fse,137
riverbank,111
fork,69
church-fse,64
jaxon,55
lmscourse-fse,22
eduacademy,18
