product,active_sites
ALL_PRODUCTS_DEDUPLICATED,397402
disable-admin-notices,92808
optimole-wp,72892
robin-image-optimizer,53762
otter-blocks,35436
remove-category-url,34790
neve,28952
cyrlitera,28834
cyr-and-lat,18292
templates-patterns-collection,16695
wp-full-stripe-free,11251
feedzy-rss-feeds,10795
themeisle-companion,8756
wp-cloudflare-page-cache,8194
menu-icons,8134
wp-maintenance-mode,7715
hyve-lite,7704
instagram-slider-widget,5376
visualizer,3141
multiple-pages-generator-by-porthas,3045
wpcf7-redirect,2508
hestia,2059
insert-php,2028
tweet-old-post,1459
anti-spam,1147
media-library-organizer,588
intergeo-maps,546
shop-isle,510
neve-fse,385
raft,260
non-profit-fse,134
riverbank,111
fork,68
church-fse,63
jaxon,54
lmscourse-fse,21
eduacademy,20
