product,active_sites
ALL_PRODUCTS_DEDUPLICATED,393902
disable-admin-notices,91072
optimole-wp,72012
robin-image-optimizer,54492
otter-blocks,34908
remove-category-url,34032
cyrlitera,29086
neve,28385
cyr-and-lat,18291
templates-patterns-collection,16173
wp-full-stripe-free,10682
feedzy-rss-feeds,10600
themeisle-companion,8695
wp-cloudflare-page-cache,8090
menu-icons,8085
wp-maintenance-mode,8067
hyve-lite,7532
instagram-slider-widget,5262
visualizer,3096
multiple-pages-generator-by-porthas,2939
wpcf7-redirect,2528
insert-php,2067
hestia,2023
tweet-old-post,1450
anti-spam,1111
media-library-organizer,609
intergeo-maps,539
shop-isle,500
neve-fse,390
raft,263
non-profit-fse,130
riverbank,107
fork,65
church-fse,61
jaxon,54
lmscourse-fse,20
eduacademy,19
