product,active_sites
ALL_PRODUCTS_DEDUPLICATED,396779
disable-admin-notices,92427
optimole-wp,74538
robin-image-optimizer,52090
otter-blocks,36077
remove-category-url,35248
neve,29564
cyrlitera,27857
cyr-and-lat,18011
templates-patterns-collection,17317
wp-full-stripe-free,11929
feedzy-rss-feeds,11051
themeisle-companion,8730
wp-cloudflare-page-cache,8317
menu-icons,8160
hyve-lite,8027
wp-maintenance-mode,7139
instagram-slider-widget,5385
visualizer,3204
multiple-pages-generator-by-porthas,3112
wpcf7-redirect,2487
hestia,2082
insert-php,1993
tweet-old-post,1474
anti-spam,1143
intergeo-maps,556
media-library-organizer,555
shop-isle,525
neve-fse,374
raft,261
non-profit-fse,137
riverbank,112
fork,69
church-fse,64
jaxon,55
lmscourse-fse,22
eduacademy,18
