product,active_sites
ALL_PRODUCTS_DEDUPLICATED,394562
disable-admin-notices,91387
optimole-wp,72200
robin-image-optimizer,54397
otter-blocks,34982
remove-category-url,34160
cyrlitera,29071
neve,28475
cyr-and-lat,18257
templates-patterns-collection,16248
wp-full-stripe-free,10760
feedzy-rss-feeds,10614
themeisle-companion,8720
wp-cloudflare-page-cache,8111
menu-icons,8097
wp-maintenance-mode,8026
hyve-lite,7570
instagram-slider-widget,5272
visualizer,3117
multiple-pages-generator-by-porthas,2953
wpcf7-redirect,2523
insert-php,2060
hestia,2023
tweet-old-post,1451
anti-spam,1110
media-library-organizer,604
intergeo-maps,541
shop-isle,502
neve-fse,390
raft,261
non-profit-fse,133
riverbank,108
fork,66
church-fse,61
jaxon,54
lmscourse-fse,20
eduacademy,20
