product,active_sites
ALL_PRODUCTS_DEDUPLICATED,390040
disable-admin-notices,90256
optimole-wp,75050
robin-image-optimizer,49699
otter-blocks,36313
remove-category-url,34747
neve,29896
cyrlitera,26294
templates-patterns-collection,17665
cyr-and-lat,17347
wp-full-stripe-free,12291
feedzy-rss-feeds,11084
themeisle-companion,8768
wp-cloudflare-page-cache,8327
hyve-lite,8232
menu-icons,8225
wp-maintenance-mode,6703
instagram-slider-widget,5197
visualizer,3258
multiple-pages-generator-by-porthas,3121
wpcf7-redirect,2436
hestia,2109
insert-php,1901
tweet-old-post,1491
anti-spam,1134
intergeo-maps,562
media-library-organizer,543
shop-isle,531
neve-fse,375
raft,262
non-profit-fse,135
riverbank,114
fork,71
church-fse,67
jaxon,52
lmscourse-fse,21
eduacademy,18
