product,active_sites
ALL_PRODUCTS_DEDUPLICATED,398377
disable-admin-notices,93122
optimole-wp,73243
robin-image-optimizer,53591
otter-blocks,35577
remove-category-url,35027
neve,29056
cyrlitera,28876
cyr-and-lat,18340
templates-patterns-collection,16816
wp-full-stripe-free,11373
feedzy-rss-feeds,10839
themeisle-companion,8748
wp-cloudflare-page-cache,8216
menu-icons,8128
hyve-lite,7760
wp-maintenance-mode,7632
instagram-slider-widget,5405
visualizer,3164
multiple-pages-generator-by-porthas,3055
wpcf7-redirect,2503
hestia,2062
insert-php,2018
tweet-old-post,1451
anti-spam,1136
media-library-organizer,578
intergeo-maps,550
shop-isle,512
neve-fse,378
raft,259
non-profit-fse,135
riverbank,111
fork,68
church-fse,63
jaxon,55
lmscourse-fse,22
eduacademy,20
