product,active_sites
ALL_PRODUCTS_DEDUPLICATED,394699
disable-admin-notices,91837
optimole-wp,74936
robin-image-optimizer,51140
otter-blocks,36259
remove-category-url,35078
neve,29764
cyrlitera,27183
cyr-and-lat,17769
templates-patterns-collection,17492
wp-full-stripe-free,12123
feedzy-rss-feeds,11088
themeisle-companion,8762
wp-cloudflare-page-cache,8331
menu-icons,8202
hyve-lite,8128
wp-maintenance-mode,6961
instagram-slider-widget,5306
visualizer,3234
multiple-pages-generator-by-porthas,3136
wpcf7-redirect,2463
hestia,2095
insert-php,1960
tweet-old-post,1479
anti-spam,1144
intergeo-maps,559
media-library-organizer,547
shop-isle,529
neve-fse,376
raft,262
non-profit-fse,136
riverbank,113
fork,72
church-fse,67
jaxon,52
lmscourse-fse,21
eduacademy,19
