product,active_sites
ALL_PRODUCTS_DEDUPLICATED,391490
disable-admin-notices,90166
optimole-wp,71223
robin-image-optimizer,54608
otter-blocks,34617
remove-category-url,33682
cyrlitera,29003
neve,28104
cyr-and-lat,18288
templates-patterns-collection,15953
feedzy-rss-feeds,10483
wp-full-stripe-free,10480
themeisle-companion,8649
wp-maintenance-mode,8207
menu-icons,8059
wp-cloudflare-page-cache,8020
hyve-lite,7436
instagram-slider-widget,5245
visualizer,3050
multiple-pages-generator-by-porthas,2896
wpcf7-redirect,2517
insert-php,2039
hestia,2007
tweet-old-post,1440
anti-spam,1099
media-library-organizer,614
intergeo-maps,536
shop-isle,498
neve-fse,382
raft,260
non-profit-fse,131
riverbank,105
fork,67
church-fse,60
jaxon,55
eduacademy,21
lmscourse-fse,19
