product,active_sites
ALL_PRODUCTS_DEDUPLICATED,393376
disable-admin-notices,90903
optimole-wp,71848
robin-image-optimizer,54473
otter-blocks,34889
remove-category-url,33976
cyrlitera,29054
neve,28322
cyr-and-lat,18278
templates-patterns-collection,16138
wp-full-stripe-free,10647
feedzy-rss-feeds,10578
themeisle-companion,8686
wp-maintenance-mode,8093
wp-cloudflare-page-cache,8080
menu-icons,8080
hyve-lite,7517
instagram-slider-widget,5256
visualizer,3088
multiple-pages-generator-by-porthas,2925
wpcf7-redirect,2523
insert-php,2066
hestia,2023
tweet-old-post,1442
anti-spam,1102
media-library-organizer,610
intergeo-maps,538
shop-isle,499
neve-fse,390
raft,261
non-profit-fse,129
riverbank,107
fork,65
church-fse,61
jaxon,54
lmscourse-fse,20
eduacademy,19
