product,active_sites
ALL_PRODUCTS_DEDUPLICATED,399002
disable-admin-notices,93466
optimole-wp,73812
robin-image-optimizer,52843
otter-blocks,35857
remove-category-url,35266
neve,29309
cyrlitera,28732
cyr-and-lat,18328
templates-patterns-collection,17061
wp-full-stripe-free,11632
feedzy-rss-feeds,10937
themeisle-companion,8767
wp-cloudflare-page-cache,8265
menu-icons,8151
hyve-lite,7869
wp-maintenance-mode,7453
instagram-slider-widget,5433
visualizer,3209
multiple-pages-generator-by-porthas,3087
wpcf7-redirect,2487
hestia,2075
insert-php,2004
tweet-old-post,1465
anti-spam,1134
media-library-organizer,567
intergeo-maps,553
shop-isle,517
neve-fse,374
raft,260
non-profit-fse,134
riverbank,111
fork,68
church-fse,64
jaxon,55
lmscourse-fse,22
eduacademy,19
