product,active_sites
ALL_PRODUCTS_DEDUPLICATED,390834
disable-admin-notices,90126
optimole-wp,71090
robin-image-optimizer,54413
otter-blocks,34539
remove-category-url,33673
cyrlitera,28966
neve,28054
cyr-and-lat,18258
templates-patterns-collection,15926
wp-full-stripe-free,10462
feedzy-rss-feeds,10446
themeisle-companion,8628
wp-maintenance-mode,8166
menu-icons,8049
wp-cloudflare-page-cache,7992
hyve-lite,7421
instagram-slider-widget,5240
visualizer,3045
multiple-pages-generator-by-porthas,2889
wpcf7-redirect,2513
insert-php,2029
hestia,2002
tweet-old-post,1436
anti-spam,1099
media-library-organizer,611
intergeo-maps,536
shop-isle,498
neve-fse,381
raft,258
non-profit-fse,130
riverbank,105
fork,65
church-fse,60
jaxon,54
eduacademy,20
lmscourse-fse,19
