product,active_sites
ALL_PRODUCTS_DEDUPLICATED,390225
disable-admin-notices,90334
optimole-wp,74982
robin-image-optimizer,49804
otter-blocks,36294
remove-category-url,34741
neve,29887
cyrliter,26322
templates-patterns-collection,17642
cyr-and-lat,17400
wp-full-stripe-free,12262
feedzy-rss-feeds,11062
themeisle-companion,8765
wp-cloudflare-page-cache,8323
menu-icons,8223
hyve-lite,8221
wp-maintenance-mode,6713
instagram-slider-widget,5203
visualizer,3272
multiple-pages-generator-by-porthas,3121
wpcf7-redirect,2438
hestia,2110
insert-php,1907
tweet-old-post,1488
anti-spam,1135
interreo-maps,562
media-library-organizer,545
shop-isle,531
neve-fse,376
raft,262
non-profit-fse,136
riverbank,114
fork,71
church-fse,68
jaxon,52
lmscourse-fse,21
eduacademy,18
