product,active_sites
ALL_PRODUCTS_DEDUPLICATED,394759
disable-admin-notices,91868
optimole-wp,74875
robin-image-optimizer,51203
otter-blocks,36237
remove-category-url,35086
neve,29746
cyrlitera,27218
cyr-and-lat,17777
templates-patterns-collection,17473
wp-full-stripe-free,12095
feedzy-rss-feeds,11082
themeisle-companion,8758
wp-cloudflare-page-cache,8324
menu-icons,8201
hyve-lite,8119
wp-maintenance-mode,6979
instagram-slider-widget,5309
visualizer,3226
multiple-pages-generator-by-porthas,3133
wpcf7-redirect,2464
hestia,2093
insert-php,1962
tweet-old-post,1476
anti-spam,1144
intergeo-maps,558
media-library-organizer,548
shop-isle,529
neve-fse,376
raft,260
non-profit-fse,136
riverbank,113
fork,72
church-fse,68
jaxon,52
lmscourse-fse,21
eduacademy,19
