product,active_sites
ALL_PRODUCTS_DEDUPLICATED,389505
disable-admin-notices,88869
optimole-wp,70814
robin-image-optimizer,55703
otter-blocks,34305
remove-category-url,32758
cyrlitera,28671
neve,28078
cyr-and-lat,18177
templates-patterns-collection,15690
feedzy-rss-feeds,10422
wp-full-stripe-free,10202
themeisle-companion,8618
wp-maintenance-mode,8583
menu-icons,8205
wp-cloudflare-page-cache,7940
hyve-lite,7374
instagram-slider-widget,5167
visualizer,2946
multiple-pages-generator-by-porthas,2877
wpcf7-redirect,2558
insert-php,2075
hestia,1981
tweet-old-post,1432
anti-spam,1112
media-library-organizer,618
intergeo-maps,534
shop-isle,493
neve-fse,380
raft,259
non-profit-fse,132
riverbank,103
fork,65
church-fse,62
jaxon,54
eduacademy,22
lmscourse-fse,19
