product,active_sites
ALL_PRODUCTS_DEDUPLICATED,390684
disable-admin-notices,90487
optimole-wp,74964
robin-image-optimizer,49947
otter-blocks,36300
remove-category-url,34749
neve,29871
cyrlitera,26420
templates-patterns-collection,17616
cyr-and-lat,17450
wp-full-stripe-free,12250
feedzy-rss-feeds,11070
themeisle-companion,8766
wp-cloudflare-page-cache,8314
menu-icons,8221
hyve-lite,8215
wp-maintenance-mode,6744
instagram-slider-widget,5209
visualizer,3270
multiple-pages-generator-by-porthas,3121
wpcf7-redirect,2440
hestia,2109
insert-php,1913
tweet-old-post,1484
anti-spam,1132
intergeo-maps,561
media-library-organizer,545
shop-isle,530
neve-fse,377
raft,262
non-profit-fse,135
riverbank,114
fork,71
church-fse,68
jaxon,52
lmscourse-fse,21
eduacademy,18
