product,active_sites
ALL_PRODUCTS_DEDUPLICATED,398567
disable-admin-notices,93214
optimole-wp,73331
robin-image-optimizer,53526
otter-blocks,35609
remove-category-url,35068
neve,29082
cyrlitera,28870
cyr-and-lat,18354
templates-patterns-collection,16843
wp-full-stripe-free,11401
feedzy-rss-feeds,10841
themeisle-companion,8752
wp-cloudflare-page-cache,8222
menu-icons,8126
hyve-lite,7771
wp-maintenance-mode,7602
instagram-slider-widget,5409
visualizer,3174
multiple-pages-generator-by-porthas,3059
wpcf7-redirect,2501
hestia,2062
insert-php,2018
tweet-old-post,1449
anti-spam,1139
media-library-organizer,579
intergeo-maps,550
shop-isle,513
neve-fse,377
raft,259
non-profit-fse,135
riverbank,111
fork,68
church-fse,63
jaxon,55
lmscourse-fse,22
eduacademy,20
