product,active_sites
ALL_PRODUCTS_DEDUPLICATED,398084
disable-admin-notices,93014
optimole-wp,74048
robin-image-optimizer,52567
otter-blocks,35951
remove-category-url,35249
neve,29400
cyrlitera,28360
cyr-and-lat,18213
templates-patterns-collection,17158
wp-full-stripe-free,11764
feedzy-rss-feeds,10971
themeisle-companion,8753
wp-cloudflare-page-cache,8307
menu-icons,8157
hyve-lite,7937
wp-maintenance-mode,7322
instagram-slider-widget,5422
visualizer,3201
multiple-pages-generator-by-porthas,3105
wpcf7-redirect,2485
hestia,2081
insert-php,1993
tweet-old-post,1478
anti-spam,1137
media-library-organizer,566
intergeo-maps,555
shop-isle,519
neve-fse,373
raft,262
non-profit-fse,134
riverbank,111
fork,69
church-fse,64
jaxon,55
lmscourse-fse,22
eduacademy,19
