product,active_sites
ALL_PRODUCTS_DEDUPLICATED,398103
disable-admin-notices,93051
optimole-wp,73154
robin-image-optimizer,53649
otter-blocks,35537
remove-category-url,34919
neve,29026
cyrlitera,28860
cyr-and-lat,18327
templates-patterns-collection,16784
wp-full-stripe-free,11341
feedzy-rss-feeds,10842
themeisle-companion,8745
wp-cloudflare-page-cache,8213
menu-icons,8121
hyve-lite,7752
wp-maintenance-mode,7651
instagram-slider-widget,5399
visualizer,3162
multiple-pages-generator-by-porthas,3053
wpcf7-redirect,2503
hestia,2060
insert-php,2018
tweet-old-post,1451
anti-spam,1140
media-library-organizer,580
intergeo-maps,547
shop-isle,512
neve-fse,379
raft,259
non-profit-fse,134
riverbank,112
fork,68
church-fse,63
jaxon,55
lmscourse-fse,22
eduacademy,20
