product,active_sites
ALL_PRODUCTS_DEDUPLICATED,395553
disable-admin-notices,92034
optimole-wp,74745
robin-image-optimizer,51552
otter-blocks,36162
remove-category-url,35154
neve,29701
cyrlitera,27456
cyr-and-lat,17913
templates-patterns-collection,17413
wp-full-stripe-free,12034
feedzy-rss-feeds,11083
themeisle-companion,8745
wp-cloudflare-page-cache,8311
menu-icons,8199
hyve-lite,8094
wp-maintenance-mode,7040
instagram-slider-widget,5323
visualizer,3218
multiple-pages-generator-by-porthas,3119
wpcf7-redirect,2473
hestia,2085
insert-php,1971
tweet-old-post,1473
anti-spam,1145
intergeo-maps,558
media-library-organizer,551
shop-isle,526
neve-fse,374
raft,259
non-profit-fse,133
riverbank,112
fork,71
church-fse,66
jaxon,54
lmscourse-fse,21
eduacademy,19
