product,active_sites
ALL_PRODUCTS_DEDUPLICATED,396355
disable-admin-notices,92159
optimole-wp,74637
robin-image-optimizer,51936
otter-blocks,36096
remove-category-url,35268
neve,29615
cyrlitera,27749
cyr-and-lat,17977
templates-patterns-collection,17360
wp-full-stripe-free,11967
feedzy-rss-feeds,11063
themeisle-companion,8738
wp-cloudflare-page-cache,8311
menu-icons,8176
hyve-lite,8056
wp-maintenance-mode,7096
instagram-slider-widget,5368
visualizer,3210
multiple-pages-generator-by-porthas,3115
wpcf7-redirect,2483
hestia,2080
insert-php,1990
tweet-old-post,1475
anti-spam,1145
intergeo-maps,556
media-library-organizer,551
shop-isle,526
neve-fse,377
raft,261
non-profit-fse,135
riverbank,113
fork,70
church-fse,66
jaxon,55
lmscourse-fse,21
eduacademy,18
