product,active_sites
ALL_PRODUCTS_DEDUPLICATED,390762
disable-admin-notices,89522
optimole-wp,70964
robin-image-optimizer,55569
otter-blocks,34426
remove-category-url,33019
cyrlitera,28925
neve,28203
cyr-and-lat,18228
templates-patterns-collection,15799
feedzy-rss-feeds,10433
wp-full-stripe-free,10309
themeisle-companion,8636
wp-maintenance-mode,8478
menu-icons,8133
wp-cloudflare-page-cache,7972
hyve-lite,7402
instagram-slider-widget,5201
visualizer,2952
multiple-pages-generator-by-porthas,2877
wpcf7-redirect,2547
insert-php,2067
hestia,1991
tweet-old-post,1437
anti-spam,1107
media-library-organizer,617
intergeo-maps,536
shop-isle,495
neve-fse,380
raft,260
non-profit-fse,133
riverbank,104
fork,65
church-fse,61
jaxon,54
eduacademy,21
lmscourse-fse,19
