product,active_sites
ALL_PRODUCTS_DEDUPLICATED,391952
disable-admin-notices,90289
optimole-wp,71288
robin-image-optimizer,54730
otter-blocks,34661
remove-category-url,33691
cyrlitera,29027
neve,28131
cyr-and-lat,18296
templates-patterns-collection,15961
feedzy-rss-feeds,10496
wp-full-stripe-free,10485
themeisle-companion,8655
wp-maintenance-mode,8238
menu-icons,8061
wp-cloudflare-page-cache,8023
hyve-lite,7440
instagram-slider-widget,5248
visualizer,3051
multiple-pages-generator-by-porthas,2899
wpcf7-redirect,2519
insert-php,2043
hestia,2009
tweet-old-post,1444
anti-spam,1100
media-library-organizer,615
intergeo-maps,536
shop-isle,498
neve-fse,383
raft,260
non-profit-fse,131
riverbank,105
fork,67
church-fse,60
jaxon,55
eduacademy,21
lmscourse-fse,19
