product,active_sites
ALL_PRODUCTS_DEDUPLICATED,397150
disable-admin-notices,92697
optimole-wp,72813
robin-image-optimizer,53778
otter-blocks,35402
remove-category-url,34770
neve,28927
cyrlitera,28817
cyr-and-lat,18290
templates-patterns-collection,16655
wp-full-stripe-free,11211
feedzy-rss-feeds,10792
themeisle-companion,8758
wp-cloudflare-page-cache,8186
menu-icons,8134
wp-maintenance-mode,7729
hyve-lite,7699
instagram-slider-widget,5370
visualizer,3140
multiple-pages-generator-by-porthas,3040
wpcf7-redirect,2506
hestia,2059
insert-php,2031
tweet-old-post,1458
anti-spam,1146
media-library-organizer,589
intergeo-maps,546
shop-isle,509
neve-fse,386
raft,260
non-profit-fse,134
riverbank,111
fork,68
church-fse,63
jaxon,54
lmscourse-fse,21
eduacademy,20
