product,active_sites
ALL_PRODUCTS_DEDUPLICATED,398209
disable-admin-notices,93108
optimole-wp,74010
robin-image-optimizer,52609
otter-blocks,35928
remove-category-url,35239
neve,29380
cyrlitera,28381
cyr-and-lat,18233
templates-patterns-collection,17136
wp-full-stripe-free,11749
feedzy-rss-feeds,10976
themeisle-companion,8755
wp-cloudflare-page-cache,8306
menu-icons,8158
hyve-lite,7934
wp-maintenance-mode,7348
instagram-slider-widget,5422
visualizer,3207
multiple-pages-generator-by-porthas,3100
wpcf7-redirect,2486
hestia,2080
insert-php,1993
tweet-old-post,1476
anti-spam,1137
media-library-organizer,568
intergeo-maps,554
shop-isle,519
neve-fse,372
raft,261
non-profit-fse,134
riverbank,111
fork,69
church-fse,64
jaxon,54
lmscourse-fse,22
eduacademy,19
