product,active_sites
ALL_PRODUCTS_DEDUPLICATED,396422
disable-admin-notices,92164
optimole-wp,74578
robin-image-optimizer,52030
otter-blocks,36078
remove-category-url,35264
neve,29585
cyrlitera,27783
cyr-and-lat,18002
templates-patterns-collection,17337
wp-full-stripe-free,11946
feedzy-rss-feeds,11045
themeisle-companion,8733
wp-cloudflare-page-cache,8315
menu-icons,8172
hyve-lite,8032
wp-maintenance-mode,7116
instagram-slider-widget,5375
visualizer,3206
multiple-pages-generator-by-porthas,3114
wpcf7-redirect,2483
hestia,2082
insert-php,1992
tweet-old-post,1475
anti-spam,1144
intergeo-maps,556
media-library-organizer,553
shop-isle,525
neve-fse,374
raft,261
non-profit-fse,136
riverbank,112
fork,69
church-fse,66
jaxon,55
lmscourse-fse,22
eduacademy,18
