product,active_sites
ALL_PRODUCTS_DEDUPLICATED,394921
disable-admin-notices,91628
optimole-wp,71987
robin-image-optimizer,54221
otter-blocks,35088
remove-category-url,34312
cyrlitera,29074
neve,28544
cyr-and-lat,18194
templates-patterns-collection,16334
wp-full-stripe-free,10859
feedzy-rss-feeds,10632
themeisle-companion,8711
wp-cloudflare-page-cache,8139
menu-icons,8114
wp-maintenance-mode,7972
hyve-lite,7609
instagram-slider-widget,5294
visualizer,3128
multiple-pages-generator-by-porthas,2970
wpcf7-redirect,2519
insert-php,2053
hestia,2028
tweet-old-post,1458
anti-spam,1115
media-library-organizer,601
intergeo-maps,542
shop-isle,503
neve-fse,385
raft,262
non-profit-fse,134
riverbank,108
fork,67
church-fse,61
jaxon,54
lmscourse-fse,20
eduacademy,19
