product,active_sites
ALL_PRODUCTS_DEDUPLICATED,395301
disable-admin-notices,91790
optimole-wp,72146
robin-image-optimizer,54151
otter-blocks,35126
remove-category-url,34407
cyrlitera,29083
neve,28563
cyr-and-lat,18183
templates-patterns-collection,16376
wp-full-stripe-free,10904
feedzy-rss-feeds,10671
themeisle-companion,8708
wp-cloudflare-page-cache,8138
menu-icons,8116
wp-maintenance-mode,7925
hyve-lite,7624
instagram-slider-widget,5304
visualizer,3134
multiple-pages-generator-by-porthas,2980
wpcf7-redirect,2514
insert-php,2052
hestia,2039
tweet-old-post,1455
anti-spam,1130
media-library-organizer,599
intergeo-maps,543
shop-isle,504
neve-fse,384
raft,263
non-profit-fse,134
riverbank,109
fork,67
church-fse,61
jaxon,54
lmscourse-fse,20
eduacademy,19
