product,active_sites
ALL_PRODUCTS_DEDUPLICATED,398711
disable-admin-notices,93336
optimole-wp,73854
robin-image-optimizer,52760
otter-blocks,35839
remove-category-url,35264
neve,29321
cyrlitera,28650
cyr-and-lat,18314
templates-patterns-collection,17074
wp-full-stripe-free,11659
feedzy-rss-feeds,10931
themeisle-companion,8756
wp-cloudflare-page-cache,8268
menu-icons,8150
hyve-lite,7878
wp-maintenance-mode,7427
instagram-slider-widget,5437
visualizer,3208
multiple-pages-generator-by-porthas,3089
wpcf7-redirect,2487
hestia,2076
insert-php,2003
tweet-old-post,1471
anti-spam,1136
media-library-organizer,567
intergeo-maps,553
shop-isle,517
neve-fse,372
raft,260
non-profit-fse,134
riverbank,111
fork,68
church-fse,64
jaxon,55
lmscourse-fse,22
eduacademy,19
