product,active_sites
ALL_PRODUCTS_DEDUPLICATED,389890
disable-admin-notices,89089
optimole-wp,70872
robin-image-optimizer,55618
otter-blocks,34371
remove-category-url,32849
cyrlitera,28703
neve,28123
cyr-and-lat,18201
templates-patterns-collection,15735
feedzy-rss-feeds,10432
wp-full-stripe-free,10246
themeisle-companion,8625
wp-maintenance-mode,8528
menu-icons,8178
wp-cloudflare-page-cache,7958
hyve-lite,7389
instagram-slider-widget,5187
visualizer,2953
multiple-pages-generator-by-porthas,2880
wpcf7-redirect,2557
insert-php,2076
hestia,1987
tweet-old-post,1436
anti-spam,1105
media-library-organizer,620
intergeo-maps,536
shop-isle,496
neve-fse,381
raft,258
non-profit-fse,132
riverbank,103
fork,65
church-fse,62
jaxon,54
eduacademy,22
lmscourse-fse,19
