product,active_sites
ALL_PRODUCTS_DEDUPLICATED,391732
disable-admin-notices,90779
optimole-wp,74987
robin-image-optimizer,50196
otter-blocks,36321
remove-category-url,34839
neve,29880
cyrlitera,26618
templates-patterns-collection,17608
cyr-and-lat,17505
wp-full-stripe-free,12244
feedzy-rss-feeds,11083
themeisle-companion,8773
wp-cloudflare-page-cache,8326
menu-icons,8220
hyve-lite,8196
wp-maintenance-mode,6791
instagram-slider-widget,5237
visualizer,3275
multiple-pages-generator-by-porthas,3128
wpcf7-redirect,2445
hestia,2109
insert-php,1924
tweet-old-post,1483
anti-spam,1134
intergeo-maps,561
media-library-organizer,544
shop-isle,532
neve-fse,379
raft,263
non-profit-fse,135
riverbank,114
fork,71
church-fse,69
jaxon,52
lmscourse-fse,21
eduacademy,18
