product,active_sites
ALL_PRODUCTS_DEDUPLICATED,394725
disable-admin-notices,91468
optimole-wp,72208
robin-image-optimizer,54360
otter-blocks,35036
remove-category-url,34215
cyrlitera,29063
neve,28504
cyr-and-lat,18234
templates-patterns-collection,16275
wp-full-stripe-free,10804
feedzy-rss-feeds,10616
themeisle-companion,8720
wp-cloudflare-page-cache,8120
menu-icons,8106
wp-maintenance-mode,8013
hyve-lite,7590
instagram-slider-widget,5280
visualizer,3123
multiple-pages-generator-by-porthas,2958
wpcf7-redirect,2522
insert-php,2059
hestia,2026
tweet-old-post,1458
anti-spam,1111
media-library-organizer,606
intergeo-maps,542
shop-isle,501
neve-fse,390
raft,261
non-profit-fse,133
riverbank,108
fork,66
church-fse,61
jaxon,54
lmscourse-fse,20
eduacademy,20
