product,active_sites
ALL_PRODUCTS_DEDUPLICATED,396418
disable-admin-notices,92164
optimole-wp,74605
robin-image-optimizer,52003
otter-blocks,36104
remove-category-url,35269
neve,29595
cyrlitera,27769
cyr-and-lat,17987
templates-patterns-collection,17349
wp-full-stripe-free,11957
feedzy-rss-feeds,11041
themeisle-companion,8737
wp-cloudflare-page-cache,8314
menu-icons,8176
hyve-lite,8042
wp-maintenance-mode,7104
instagram-slider-widget,5371
visualizer,3209
multiple-pages-generator-by-porthas,3115
wpcf7-redirect,2483
hestia,2082
insert-php,1994
tweet-old-post,1475
anti-spam,1145
intergeo-maps,556
media-library-organizer,553
shop-isle,526
neve-fse,375
raft,262
non-profit-fse,135
riverbank,112
fork,69
church-fse,66
jaxon,55
lmscourse-fse,22
eduacademy,18
