product,active_sites
ALL_PRODUCTS_DEDUPLICATED,399046
disable-admin-notices,93453
optimole-wp,73547
robin-image-optimizer,53340
otter-blocks,35699
remove-category-url,35148
neve,29128
cyrlitera,28850
cyr-and-lat,18379
templates-patterns-collection,16915
wp-full-stripe-free,11487
feedzy-rss-feeds,10870
themeisle-companion,8753
wp-cloudflare-page-cache,8236
menu-icons,8131
hyve-lite,7803
wp-maintenance-mode,7545
instagram-slider-widget,5429
visualizer,3187
multiple-pages-generator-by-porthas,3072
wpcf7-redirect,2500
hestia,2066
insert-php,2017
tweet-old-post,1462
anti-spam,1130
media-library-organizer,575
intergeo-maps,551
shop-isle,515
neve-fse,372
raft,259
non-profit-fse,134
riverbank,110
fork,68
church-fse,63
jaxon,55
lmscourse-fse,22
eduacademy,19
