product,active_sites
ALL_PRODUCTS_DEDUPLICATED,397772
disable-admin-notices,92856
optimole-wp,74081
robin-image-optimizer,52505
otter-blocks,35931
remove-category-url,35266
neve,29408
cyrlitera,28263
cyr-and-lat,18181
templates-patterns-collection,17175
wp-full-stripe-free,11785
feedzy-rss-feeds,10974
themeisle-companion,8746
wp-cloudflare-page-cache,8294
menu-icons,8154
hyve-lite,7953
wp-maintenance-mode,7291
instagram-slider-widget,5417
visualizer,3200
multiple-pages-generator-by-porthas,3110
wpcf7-redirect,2483
hestia,2081
insert-php,1998
tweet-old-post,1478
anti-spam,1134
media-library-organizer,565
intergeo-maps,555
shop-isle,520
neve-fse,374
raft,262
non-profit-fse,133
riverbank,111
fork,69
church-fse,64
jaxon,55
lmscourse-fse,22
eduacademy,19
