product,active_sites
ALL_PRODUCTS_DEDUPLICATED,395985
disable-admin-notices,92123
optimole-wp,74664
robin-image-optimizer,51826
otter-blocks,36109
remove-category-url,35234
neve,29638
cyrlitera,27537
cyr-and-lat,17961
templates-patterns-collection,17370
wp-full-stripe-free,11981
feedzy-rss-feeds,11072
themeisle-companion,8733
wp-cloudflare-page-cache,8303
menu-icons,8183
hyve-lite,8067
wp-maintenance-mode,7076
instagram-slider-widget,5351
visualizer,3209
multiple-pages-generator-by-porthas,3114
wpcf7-redirect,2480
hestia,2080
insert-php,1986
tweet-old-post,1475
anti-spam,1146
intergeo-maps,556
media-library-organizer,550
shop-isle,527
neve-fse,375
raft,260
non-profit-fse,135
riverbank,113
fork,71
church-fse,66
jaxon,55
lmscourse-fse,21
eduacademy,19
