product,active_sites
ALL_PRODUCTS_DEDUPLICATED,398878
disable-admin-notices,93387
optimole-wp,73502
robin-image-optimizer,53366
otter-blocks,35663
remove-category-url,35122
neve,29117
cyrlitera,28851
cyr-and-lat,18378
templates-patterns-collection,16909
wp-full-stripe-free,11461
feedzy-rss-feeds,10860
themeisle-companion,8751
wp-cloudflare-page-cache,8232
menu-icons,8130
hyve-lite,7799
wp-maintenance-mode,7559
instagram-slider-widget,5426
visualizer,3178
multiple-pages-generator-by-porthas,3072
wpcf7-redirect,2498
hestia,2066
insert-php,2018
tweet-old-post,1460
anti-spam,1132
media-library-organizer,575
intergeo-maps,551
shop-isle,515
neve-fse,372
raft,259
non-profit-fse,134
riverbank,110
fork,68
church-fse,63
jaxon,55
lmscourse-fse,22
eduacademy,19
