product,active_sites
ALL_PRODUCTS_DEDUPLICATED,396979
disable-admin-notices,92430
optimole-wp,74376
robin-image-optimizer,52175
otter-blocks,36050
remove-category-url,35260
neve,29510
cyrlitera,27991
cyr-and-lat,18069
templates-patterns-collection,17265
wp-full-stripe-free,11890
feedzy-rss-feeds,11040
themeisle-companion,8727
wp-cloudflare-page-cache,8311
menu-icons,8152
hyve-lite,7999
wp-maintenance-mode,7194
instagram-slider-widget,5399
visualizer,3199
multiple-pages-generator-by-porthas,3113
wpcf7-redirect,2482
hestia,2078
insert-php,1995
tweet-old-post,1475
anti-spam,1137
media-library-organizer,558
intergeo-maps,555
shop-isle,522
neve-fse,374
raft,261
non-profit-fse,136
riverbank,111
fork,69
church-fse,64
jaxon,55
lmscourse-fse,22
eduacademy,18
