product,active_sites
ALL_PRODUCTS_DEDUPLICATED,392403
disable-admin-notices,90357
optimole-wp,71372
robin-image-optimizer,54859
otter-blocks,34720
remove-category-url,33701
cyrlitera,29048
neve,28161
cyr-and-lat,18309
templates-patterns-collection,15983
feedzy-rss-feeds,10515
wp-full-stripe-free,10498
themeisle-companion,8664
wp-maintenance-mode,8267
menu-icons,8069
wp-cloudflare-page-cache,8035
hyve-lite,7450
instagram-slider-widget,5253
visualizer,3052
multiple-pages-generator-by-porthas,2902
wpcf7-redirect,2524
insert-php,2047
hestia,2011
tweet-old-post,1447
anti-spam,1101
media-library-organizer,615
intergeo-maps,536
shop-isle,499
neve-fse,384
raft,260
non-profit-fse,131
riverbank,105
fork,67
church-fse,60
jaxon,55
eduacademy,21
lmscourse-fse,19
