product,active_sites
ALL_PRODUCTS_DEDUPLICATED,392118
disable-admin-notices,90161
optimole-wp,71225
robin-image-optimizer,55234
otter-blocks,34605
remove-category-url,33521
cyrlitera,28992
neve,28366
cyr-and-lat,18277
templates-patterns-collection,15908
feedzy-rss-feeds,10456
wp-full-stripe-free,10423
themeisle-companion,8654
wp-maintenance-mode,8354
menu-icons,8070
wp-cloudflare-page-cache,8009
hyve-lite,7423
instagram-slider-widget,5231
visualizer,3015
multiple-pages-generator-by-porthas,2890
wpcf7-redirect,2537
insert-php,2053
hestia,2004
tweet-old-post,1448
anti-spam,1100
media-library-organizer,615
intergeo-maps,537
shop-isle,498
neve-fse,383
raft,260
non-profit-fse,132
riverbank,105
fork,66
church-fse,62
jaxon,55
eduacademy,21
lmscourse-fse,19
