product,active_sites
ALL_PRODUCTS_DEDUPLICATED,397543
disable-admin-notices,92710
optimole-wp,74132
robin-image-optimizer,52402
otter-blocks,35967
remove-category-url,35269
neve,29432
cyrlitera,28225
cyr-and-lat,18161
templates-patterns-collection,17194
wp-full-stripe-free,11810
feedzy-rss-feeds,10991
themeisle-companion,8749
wp-cloudflare-page-cache,8307
menu-icons,8152
hyve-lite,7973
wp-maintenance-mode,7273
instagram-slider-widget,5416
visualizer,3199
multiple-pages-generator-by-porthas,3117
wpcf7-redirect,2481
hestia,2081
insert-php,2001
tweet-old-post,1474
anti-spam,1134
media-library-organizer,562
intergeo-maps,555
shop-isle,521
neve-fse,373
raft,263
non-profit-fse,135
riverbank,111
fork,69
church-fse,64
jaxon,55
lmscourse-fse,22
eduacademy,19
