product,active_sites
ALL_PRODUCTS_DEDUPLICATED,393143
disable-admin-notices,91118
optimole-wp,74907
robin-image-optimizer,50778
otter-blocks,36286
remove-category-url,34989
neve,29795
cyrlitera,26962
cyr-and-lat,17651
templates-patterns-collection,17541
wp-full-stripe-free,12182
feedzy-rss-feeds,11086
themeisle-companion,8754
wp-cloudflare-page-cache,8335
menu-icons,8205
hyve-lite,8155
wp-maintenance-mode,6902
instagram-slider-widget,5272
visualizer,3266
multiple-pages-generator-by-porthas,3131
wpcf7-redirect,2451
hestia,2098
insert-php,1949
tweet-old-post,1478
anti-spam,1141
intergeo-maps,559
media-library-organizer,547
shop-isle,527
neve-fse,378
raft,261
non-profit-fse,136
riverbank,114
fork,71
church-fse,70
jaxon,52
lmscourse-fse,21
eduacademy,17
